,Climate,Operation,TSV,Clo,Met,Ta,Tr,RH,Vel,PMV,PPD
25637,Af,Naturally Ventilated,-3.0,0.19,1.0,30.1,30.1,79.6,0.4,0.85,20.33
25639,Af,Naturally Ventilated,0.0,0.48,1.2,29.6,29.6,76.0,0.2,1.58,55.25
25640,Af,Naturally Ventilated,0.0,0.17,1.0,29.2,29.2,78.2,0.4,0.17,5.63
25641,Af,Naturally Ventilated,0.0,0.4,1.0,29.6,29.6,72.7,0.0,1.55,53.39
25642,Af,Naturally Ventilated,-1.0,0.46,1.0,30.4,30.4,80.9,0.0,2.04,78.39
25643,Af,Naturally Ventilated,0.0,0.27,1.0,30.3,30.3,80.9,0.2,1.47,49.47
25644,Af,Naturally Ventilated,1.0,0.35,1.0,30.3,30.3,80.9,0.2,1.61,56.66
25645,Af,Naturally Ventilated,0.0,0.27,1.2,29.2,29.2,83.8,0.0,1.49,50.47
25646,Af,Naturally Ventilated,3.0,0.18,1.1,29.5,29.5,84.2,0.1,1.31,40.71
25647,Af,Naturally Ventilated,0.0,0.37,1.1,28.9,28.9,75.2,0.2,1.05,28.31
25648,Af,Naturally Ventilated,-3.0,0.19,1.1,29.6,29.6,75.0,0.0,1.37,44.13
25649,Af,Naturally Ventilated,1.0,0.17,1.0,29.6,29.6,75.6,0.2,0.81,18.92
25650,Af,Naturally Ventilated,0.0,0.22,1.0,30.1,30.1,75.2,0.1,1.45,48.19
25651,Af,Naturally Ventilated,-1.0,0.44,1.1,29.2,29.2,75.5,0.1,1.46,48.66
25652,Af,Naturally Ventilated,1.0,0.44,1.2,29.9,29.9,73.9,0.1,1.75,64.43
25653,Af,Naturally Ventilated,0.0,0.18,1.0,29.8,29.8,73.4,0.2,0.93,23.16
25654,Af,Naturally Ventilated,0.0,0.21,1.0,29.2,29.2,75.2,0.1,0.99,25.86
25655,Af,Naturally Ventilated,0.0,0.18,1.0,30.2,30.2,71.6,0.2,1.13,32.11
25656,Af,Naturally Ventilated,0.0,0.25,1.0,30.5,30.5,77.4,0.5,1.15,32.69
25657,Af,Naturally Ventilated,-1.0,0.25,1.0,29.9,29.9,77.7,0.4,0.88,21.39
25659,Af,Naturally Ventilated,0.0,0.28,1.0,29.8,29.8,77.3,0.2,1.19,34.76
25660,Af,Naturally Ventilated,-1.0,0.36,1.1,29.5,29.5,76.6,0.4,1.08,29.63
25662,Af,Naturally Ventilated,-1.0,0.17,1.0,29.4,29.4,80.2,0.2,0.75,16.76
25663,Af,Naturally Ventilated,1.0,0.44,1.0,29.6,29.6,80.7,0.2,1.41,46.07
25664,Af,Naturally Ventilated,-1.0,0.33,1.2,28.1,28.1,81.0,0.4,0.56,11.57
25665,Af,Naturally Ventilated,0.0,0.2,1.0,28.2,28.2,82.4,0.0,0.64,13.61
25666,Af,Naturally Ventilated,-2.0,0.31,1.1,29.0,29.0,75.0,0.2,0.98,25.39
25667,Af,Naturally Ventilated,2.0,0.2,1.1,29.4,29.4,74.1,0.2,0.94,23.57
25668,Af,Naturally Ventilated,-1.0,0.28,1.2,30.1,30.1,67.0,0.5,1.17,33.91
25671,Af,Naturally Ventilated,0.0,0.18,1.0,30.1,30.1,70.3,0.2,1.06,28.84
25672,Af,Naturally Ventilated,-1.0,0.17,1.0,30.3,30.3,70.0,0.2,1.15,32.91
25673,Af,Naturally Ventilated,-1.0,0.18,1.3,30.4,30.4,67.6,0.2,1.53,52.33
25674,Af,Naturally Ventilated,0.0,0.22,1.2,30.6,30.6,68.0,0.0,1.83,68.72
25676,Af,Naturally Ventilated,1.0,0.26,1.1,31.2,31.2,67.9,0.4,1.67,60.32
25678,Af,Naturally Ventilated,2.0,0.26,1.0,31.1,31.1,65.5,0.1,1.87,70.49
25679,Af,Naturally Ventilated,1.0,0.3,1.0,32.1,32.1,67.5,0.5,2.12,81.72
25680,Af,Naturally Ventilated,1.0,0.17,1.0,31.9,31.9,67.3,0.1,2.19,84.55
25681,Af,Naturally Ventilated,0.0,0.18,1.0,32.1,32.1,68.4,0.2,2.18,84.26
25682,Af,Naturally Ventilated,1.0,0.27,1.0,32.0,32.0,67.0,0.1,2.32,88.85
25683,Af,Naturally Ventilated,1.0,0.2,1.1,32.2,32.2,69.3,0.1,2.39,90.77
25686,Af,Naturally Ventilated,0.0,0.22,1.0,31.0,31.0,73.3,0.2,1.68,60.56
25688,Af,Naturally Ventilated,3.0,0.27,1.3,30.7,30.7,74.5,0.2,1.81,67.77
25689,Af,Naturally Ventilated,0.0,0.37,1.0,30.6,30.6,75.8,0.2,1.72,63.02
25690,Af,Naturally Ventilated,0.0,0.27,1.1,29.8,29.8,75.2,0.3,1.14,32.14
25691,Af,Naturally Ventilated,1.0,0.2,1.0,31.0,31.0,75.6,0.2,1.67,60.26
25692,Af,Naturally Ventilated,0.0,0.26,1.0,30.8,30.8,75.1,0.1,1.84,69.07
25693,Af,Naturally Ventilated,0.0,0.2,1.0,28.9,28.9,77.2,0.2,0.52,10.56
25695,Af,Naturally Ventilated,-2.0,0.2,1.1,28.3,28.3,76.5,0.1,0.74,16.46
25696,Af,Naturally Ventilated,0.0,0.18,1.0,29.2,29.2,71.2,0.2,0.56,11.66
25697,Af,Naturally Ventilated,-2.0,0.26,1.0,29.7,29.7,71.0,0.1,1.28,39.0
25698,Af,Naturally Ventilated,-1.0,0.26,1.0,29.4,29.4,72.6,0.5,0.43,8.85
25700,Af,Naturally Ventilated,1.0,0.22,1.1,30.5,30.5,71.5,0.0,1.78,65.84
25701,Af,Naturally Ventilated,1.0,0.29,1.0,30.5,30.5,71.5,0.2,1.5,51.13
25702,Af,Naturally Ventilated,0.0,0.17,1.0,29.5,29.5,74.2,0.2,0.74,16.52
25703,Af,Naturally Ventilated,0.0,0.18,1.0,29.5,29.5,70.0,0.0,1.13,32.02
25704,Af,Naturally Ventilated,0.0,0.26,1.0,29.1,29.1,71.0,0.4,0.36,7.66
25705,Af,Naturally Ventilated,-3.0,0.17,1.0,29.1,29.1,77.3,0.3,0.3,6.84
25706,Af,Naturally Ventilated,0.0,0.3,1.0,29.9,29.9,73.2,0.4,0.96,24.55
25707,Af,Naturally Ventilated,0.0,0.19,1.0,29.2,29.2,76.4,0.1,0.97,24.76
25708,Af,Naturally Ventilated,0.0,0.35,1.0,29.6,29.6,77.8,0.1,1.44,47.66
25712,Af,Naturally Ventilated,0.0,0.26,1.0,29.3,29.3,79.3,0.2,0.91,22.38
25713,Af,Naturally Ventilated,0.0,0.2,1.0,28.1,28.1,82.8,0.2,0.13,5.34
25714,Af,Naturally Ventilated,-1.0,0.19,1.0,28.6,28.6,82.6,0.1,0.73,16.37
25715,Af,Naturally Ventilated,1.0,0.3,1.2,28.1,28.1,79.9,0.0,1.08,29.58
25716,Af,Naturally Ventilated,0.0,0.17,1.0,28.4,28.4,78.0,0.0,0.63,13.21
25717,Af,Naturally Ventilated,-2.0,0.22,1.0,27.4,27.4,85.4,0.2,-0.16,5.55
25721,Af,Naturally Ventilated,0.0,0.2,1.1,28.5,28.5,79.8,0.0,0.94,23.57
25722,Af,Naturally Ventilated,-2.0,0.2,1.0,28.4,28.4,75.3,0.4,-0.25,6.32
25724,Af,Naturally Ventilated,-2.0,0.47,1.0,29.1,29.1,73.6,0.2,1.16,33.17
25725,Af,Naturally Ventilated,-1.0,0.18,1.0,29.0,29.0,76.5,0.2,0.51,10.38
25726,Af,Naturally Ventilated,0.0,0.36,1.0,29.0,29.0,76.5,0.2,0.94,23.74
25727,Af,Naturally Ventilated,-1.0,0.19,1.0,28.3,28.3,82.0,0.2,0.2,5.83
25728,Af,Naturally Ventilated,-2.0,0.18,1.2,28.9,28.9,73.6,0.2,0.81,18.76
25729,Af,Naturally Ventilated,1.0,0.28,1.1,29.6,29.6,71.0,0.0,1.46,48.8
25730,Af,Naturally Ventilated,0.0,0.18,1.1,29.1,29.1,73.3,0.2,0.73,16.32
25731,Af,Naturally Ventilated,1.0,0.2,1.0,29.1,29.1,73.0,0.1,0.9,22.18
25732,Af,Naturally Ventilated,0.0,0.17,1.3,28.4,28.4,76.7,0.3,0.56,11.49
25733,Af,Naturally Ventilated,-1.0,0.39,1.2,28.6,28.6,76.6,0.2,1.1,30.47
25734,Af,Naturally Ventilated,0.0,0.19,1.0,28.7,28.7,75.8,0.1,0.71,15.72
25735,Af,Naturally Ventilated,1.0,0.18,1.0,28.5,28.5,77.7,0.1,0.61,12.86
25736,Af,Naturally Ventilated,0.0,0.42,1.0,29.0,29.0,77.7,0.2,1.07,29.12
25737,Af,Naturally Ventilated,0.0,0.3,1.0,29.2,29.2,78.9,0.3,0.76,17.23
25738,Af,Naturally Ventilated,0.0,0.17,1.1,28.5,28.5,80.7,0.2,0.47,9.67
25739,Af,Naturally Ventilated,0.0,0.27,1.1,28.5,28.5,82.6,0.0,1.09,30.19
25740,Af,Naturally Ventilated,0.0,0.26,1.0,30.2,30.2,74.0,0.1,1.54,53.27
25741,Af,Naturally Ventilated,3.0,0.44,1.0,30.2,30.2,74.0,0.1,1.76,65.2
25742,Af,Naturally Ventilated,0.0,0.19,1.0,29.0,29.0,75.3,0.2,0.52,10.72
25743,Af,Naturally Ventilated,0.0,0.11,1.0,29.0,29.0,75.3,0.2,0.28,6.59
25744,Af,Naturally Ventilated,0.0,0.17,1.0,28.8,28.8,74.3,0.1,0.7,15.41
25745,Af,Naturally Ventilated,0.0,0.16,1.0,28.8,28.8,74.3,0.1,0.68,14.74
25746,Af,Naturally Ventilated,0.0,0.19,1.1,28.9,28.9,76.6,0.2,0.69,14.99
25747,Af,Naturally Ventilated,1.0,0.17,1.1,29.6,29.6,74.6,0.2,0.98,25.18
25750,Af,Naturally Ventilated,-3.0,0.19,1.3,29.4,29.4,72.7,0.0,1.45,48.25
25751,Af,Naturally Ventilated,0.0,0.19,1.3,29.4,29.4,72.7,0.0,1.45,48.25
25753,Af,Naturally Ventilated,-3.0,0.2,1.0,28.5,28.5,74.5,0.2,0.27,6.47
25754,Af,Naturally Ventilated,-1.0,0.17,1.0,29.1,29.1,77.8,0.3,0.3,6.9
25755,Af,Naturally Ventilated,0.0,0.36,1.0,29.1,29.1,77.8,0.3,0.84,20.0
25757,Af,Naturally Ventilated,0.0,0.27,1.0,29.5,29.5,76.6,0.3,0.83,19.42
25758,Af,Naturally Ventilated,-1.0,0.26,1.0,29.2,29.2,75.6,0.4,0.47,9.54
25759,Af,Naturally Ventilated,-1.0,0.27,1.0,29.2,29.2,76.7,0.2,0.85,20.24
25762,Af,Naturally Ventilated,0.0,0.27,1.1,28.9,28.9,80.7,0.1,1.16,33.31
25763,Af,Naturally Ventilated,0.0,0.26,1.0,28.9,28.9,80.7,0.1,1.0,26.31
25764,Af,Naturally Ventilated,1.0,0.27,1.0,28.6,28.6,83.3,0.0,1.0,26.17
25765,Csa,Naturally Ventilated,0.0,0.22,1.0,29.0,29.0,73.9,0.1,0.9,22.23
25766,Csa,Naturally Ventilated,0.0,0.21,1.1,29.0,29.0,73.9,0.1,1.04,27.69
25767,Csa,Naturally Ventilated,0.0,0.47,1.0,29.3,29.3,74.0,0.2,1.25,37.7
25768,Csa,Naturally Ventilated,-1.0,0.36,1.1,28.8,28.8,71.5,0.2,0.95,24.26
25772,Csa,Naturally Ventilated,0.0,0.18,1.2,29.4,29.4,71.9,0.2,1.02,27.01
25773,Csa,Naturally Ventilated,-1.0,0.2,1.0,29.4,29.4,71.9,0.4,0.35,7.53
25774,Csa,Naturally Ventilated,0.0,0.18,1.0,30.1,30.1,70.5,0.2,1.07,28.94
25775,Csa,Naturally Ventilated,0.0,0.3,1.0,29.8,29.8,72.7,0.1,1.4,45.57
25776,Csa,Naturally Ventilated,0.0,0.18,1.0,29.8,29.8,72.7,0.1,1.21,35.57
25777,Csa,Naturally Ventilated,0.0,0.3,1.1,29.1,29.1,71.3,0.3,0.82,19.03
25779,Af,Naturally Ventilated,0.0,0.26,1.0,28.9,28.9,84.6,0.2,0.75,16.92
25780,Af,Naturally Ventilated,0.0,0.36,1.1,28.8,28.8,83.6,0.2,1.07,29.18
25781,Af,Naturally Ventilated,0.0,0.22,1.1,29.2,29.2,80.1,0.2,0.94,23.73
25782,Af,Naturally Ventilated,0.0,0.27,1.1,29.7,29.7,80.3,0.2,1.28,39.39
25783,Af,Naturally Ventilated,0.0,0.27,1.1,29.3,29.3,80.2,0.3,0.93,23.39
25784,Af,Naturally Ventilated,0.0,0.4,1.1,29.3,29.3,80.2,0.4,1.1,30.62
25785,Af,Naturally Ventilated,-3.0,0.47,1.2,30.5,30.5,76.4,0.3,1.83,68.64
25787,Af,Naturally Ventilated,0.0,0.35,1.0,30.7,30.7,78.0,0.1,1.93,73.52
25788,Af,Naturally Ventilated,3.0,0.28,1.1,30.5,30.5,78.2,0.2,1.65,59.2
25789,Af,Naturally Ventilated,0.0,0.26,1.0,30.2,30.2,78.1,0.0,1.7,61.5
25790,Af,Naturally Ventilated,1.0,0.26,1.0,29.8,29.8,78.1,0.4,0.85,20.35
25792,Af,Naturally Ventilated,1.0,0.36,1.1,30.9,30.9,72.6,0.3,1.79,66.31
25793,Af,Naturally Ventilated,0.0,0.27,1.1,30.9,30.9,72.6,0.3,1.66,59.75
25794,Af,Naturally Ventilated,0.0,0.42,1.0,32.7,32.7,72.5,0.1,2.79,97.7
25796,Af,Naturally Ventilated,0.0,0.36,1.2,31.4,31.4,75.5,0.3,2.08,80.31
25798,Af,Naturally Ventilated,1.0,0.26,1.0,30.9,30.9,75.4,0.2,1.71,62.38
25799,Af,Naturally Ventilated,1.0,0.45,1.0,30.4,30.4,75.9,0.1,1.88,71.06
25800,Af,Naturally Ventilated,0.0,0.27,1.1,30.8,30.8,76.1,0.0,2.0,76.94
25801,Af,Naturally Ventilated,0.0,0.26,1.1,30.9,30.9,75.9,0.1,1.94,74.08
25802,Af,Naturally Ventilated,1.0,0.37,1.2,30.2,30.2,76.2,0.1,1.82,67.83
25803,Af,Naturally Ventilated,0.0,0.21,1.0,30.2,30.2,76.2,0.4,0.94,23.57
25807,Af,Naturally Ventilated,0.0,0.11,1.0,28.8,28.8,78.0,0.0,0.69,14.99
25808,Af,Naturally Ventilated,1.0,0.35,1.3,28.3,28.3,77.6,0.2,1.05,28.15
25809,Af,Naturally Ventilated,-3.0,0.09,1.0,28.5,28.5,78.9,0.1,0.4,8.26
25810,Af,Naturally Ventilated,-3.0,0.35,1.0,28.8,28.8,78.0,0.2,0.84,19.86
25811,Af,Naturally Ventilated,0.0,0.36,1.0,29.0,29.0,75.1,0.3,0.76,17.26
25812,Af,Naturally Ventilated,1.0,0.3,1.0,29.0,29.0,75.1,0.3,0.61,12.88
25814,Af,Naturally Ventilated,0.0,0.26,1.0,28.9,28.9,74.3,0.4,0.27,6.55
25816,Af,Naturally Ventilated,-2.0,0.35,1.0,28.6,28.6,77.5,0.2,0.74,16.43
25818,Af,Naturally Ventilated,0.0,0.18,1.0,29.9,29.9,78.6,0.3,0.84,19.89
25819,Af,Naturally Ventilated,-2.0,0.18,1.0,28.3,28.3,81.9,0.2,0.17,5.58
25820,Af,Naturally Ventilated,0.0,0.36,1.0,28.5,28.5,80.1,0.2,0.74,16.48
25821,Af,Naturally Ventilated,-3.0,0.35,1.0,28.0,28.0,84.3,0.0,0.89,21.61
25822,Af,Naturally Ventilated,-2.0,0.17,1.0,28.0,28.0,84.3,0.1,0.4,8.41
25823,Af,Naturally Ventilated,-1.0,0.26,1.0,27.7,27.7,85.9,0.3,-0.12,5.31
25824,Af,Naturally Ventilated,-2.0,0.22,1.0,27.7,27.7,85.9,0.2,0.01,5.0
25825,Af,Naturally Ventilated,-1.0,0.3,1.2,29.0,29.0,76.5,0.3,0.97,24.86
25826,Af,Naturally Ventilated,-1.0,0.36,1.0,29.0,29.0,76.5,0.2,0.94,23.74
25827,Af,Naturally Ventilated,0.0,0.22,1.0,28.5,28.5,75.5,0.2,0.34,7.34
25828,Af,Naturally Ventilated,0.0,0.27,1.1,29.2,29.2,75.1,0.0,1.32,41.29
25831,Af,Naturally Ventilated,1.0,0.3,1.1,29.5,29.5,79.8,0.3,1.09,30.24
25832,Af,Naturally Ventilated,0.0,0.26,1.0,30.2,30.2,70.1,0.0,1.6,56.6
25833,Af,Naturally Ventilated,-1.0,0.3,1.2,30.2,30.2,70.1,0.0,1.77,65.71
25834,Af,Naturally Ventilated,-2.0,0.26,1.1,29.3,29.3,73.0,0.3,0.84,19.86
25835,Af,Naturally Ventilated,0.0,0.33,1.1,29.3,29.3,73.0,0.3,0.99,25.78
25836,Af,Naturally Ventilated,0.0,0.3,1.0,30.1,30.1,71.5,0.2,1.32,41.13
25837,Af,Naturally Ventilated,0.0,0.27,1.0,30.1,30.1,71.5,0.2,1.26,38.34
25838,Af,Naturally Ventilated,0.0,0.47,1.0,29.7,29.7,68.4,0.2,1.37,43.66
25839,Af,Naturally Ventilated,0.0,0.38,1.0,29.7,29.7,68.4,0.2,1.23,36.49
25840,Af,Naturally Ventilated,0.0,0.18,1.0,29.9,29.9,74.3,0.3,0.79,18.23
25843,Af,Naturally Ventilated,0.0,0.29,1.0,29.6,29.6,76.3,0.0,1.43,47.38
25844,Af,Naturally Ventilated,-1.0,0.3,1.0,29.8,29.8,71.7,0.4,0.89,21.66
25845,Af,Naturally Ventilated,0.0,0.3,1.0,29.8,29.8,71.7,0.4,0.89,21.66
25846,Af,Naturally Ventilated,0.0,0.35,1.1,29.9,29.9,70.0,0.2,1.4,45.37
25847,Af,Naturally Ventilated,0.0,0.3,1.2,29.9,29.9,70.0,0.2,1.42,46.53
25848,Af,Naturally Ventilated,-2.0,0.42,1.2,30.1,30.1,76.0,0.1,1.82,68.12
25849,Af,Naturally Ventilated,0.0,0.42,1.1,29.7,29.7,75.1,0.1,1.62,57.37
25850,Af,Naturally Ventilated,0.0,0.41,1.0,29.7,29.7,75.1,0.1,1.53,52.71
25851,Af,Naturally Ventilated,-1.0,0.26,1.0,29.4,29.4,72.0,0.0,1.25,37.56
25852,Af,Naturally Ventilated,0.0,0.46,1.1,29.3,29.3,74.5,0.1,1.51,51.33
25853,Af,Naturally Ventilated,-3.0,0.35,1.1,29.3,29.3,74.5,0.1,1.38,44.31
25856,Af,Naturally Ventilated,0.0,0.17,1.0,29.2,29.2,77.7,0.2,0.61,12.69
25857,Af,Naturally Ventilated,-3.0,0.35,1.0,29.2,29.2,77.7,0.2,1.03,27.43
25858,Af,Naturally Ventilated,3.0,0.27,1.1,30.1,30.1,78.6,0.0,1.74,63.67
25859,Af,Naturally Ventilated,0.0,0.29,1.1,29.9,29.9,78.0,0.0,1.67,60.09
25860,Af,Naturally Ventilated,-1.0,0.36,1.1,28.5,28.5,77.4,0.4,0.6,12.68
25863,Af,Naturally Ventilated,3.0,0.27,1.0,29.6,29.6,77.5,0.5,0.64,13.6
25866,Af,Naturally Ventilated,1.0,0.27,1.0,30.2,30.2,69.5,0.3,1.14,32.39
25867,Af,Naturally Ventilated,-2.0,0.18,1.0,30.2,30.2,69.5,0.3,0.92,23.01
25868,Af,Naturally Ventilated,0.0,0.17,1.0,29.4,29.4,73.3,0.1,0.99,25.86
25869,Af,Naturally Ventilated,1.0,0.18,1.2,30.2,30.2,69.3,0.2,1.36,43.56
25871,Af,Naturally Ventilated,-1.0,0.4,1.0,29.7,29.7,77.3,0.2,1.36,43.19
25872,Af,Naturally Ventilated,0.0,0.24,1.0,29.8,29.8,71.6,0.0,1.4,45.61
25873,Af,Naturally Ventilated,0.0,0.2,1.0,30.2,30.2,69.6,0.0,1.51,51.68
25874,Af,Naturally Ventilated,1.0,0.19,1.0,30.2,30.2,69.6,0.0,1.5,50.85
25876,Af,Naturally Ventilated,1.0,0.35,1.0,30.5,30.5,74.3,0.0,1.9,71.86
25877,Af,Naturally Ventilated,0.0,0.27,1.2,29.6,29.6,77.2,0.1,1.5,51.02
25878,Af,Naturally Ventilated,-2.0,0.5,1.0,29.0,29.0,76.5,0.2,1.19,34.87
25879,Af,Naturally Ventilated,0.0,0.36,1.0,28.9,28.9,77.2,0.2,0.9,22.15
25881,Af,Naturally Ventilated,0.0,0.22,1.0,29.3,29.3,78.6,0.5,0.29,6.71
25882,Af,Naturally Ventilated,-2.0,0.26,1.0,29.1,29.1,77.4,0.3,0.58,12.12
25883,Af,Naturally Ventilated,-3.0,0.27,1.0,29.4,29.4,78.4,0.2,0.97,24.98
25884,Af,Naturally Ventilated,2.0,0.17,1.0,29.4,29.4,78.4,0.5,0.15,5.48
25885,Af,Naturally Ventilated,0.0,0.27,1.0,29.9,29.9,74.5,0.1,1.42,46.73
25886,Af,Naturally Ventilated,-1.0,0.26,1.0,29.9,29.9,74.5,0.1,1.41,45.93
25888,Af,Naturally Ventilated,1.0,0.26,1.0,30.2,30.2,76.1,0.1,1.57,54.56
25889,Af,Naturally Ventilated,3.0,0.31,1.0,30.5,30.5,76.2,0.0,1.87,70.82
25890,Af,Naturally Ventilated,-2.0,0.47,1.0,29.3,29.3,82.0,0.4,1.12,31.36
25891,Af,Naturally Ventilated,0.0,0.17,1.1,29.3,29.3,82.0,0.1,1.18,34.23
25892,Af,Naturally Ventilated,3.0,0.38,1.0,29.6,29.6,83.1,0.2,1.34,42.29
25895,Af,Naturally Ventilated,0.0,0.3,1.1,28.8,28.8,80.0,0.2,0.92,22.89
25897,Af,Naturally Ventilated,-3.0,0.22,1.0,29.3,29.3,79.4,0.1,1.11,30.84
25898,Af,Naturally Ventilated,0.0,0.27,1.1,29.1,29.1,84.1,0.1,1.28,39.07
25899,Af,Naturally Ventilated,0.0,0.19,1.0,28.2,28.2,86.4,0.1,0.58,11.93
25900,Af,Naturally Ventilated,-2.0,0.28,1.0,28.2,28.2,85.7,0.2,0.45,9.21
25901,Af,Naturally Ventilated,-2.0,0.28,1.0,28.2,28.2,85.7,0.1,0.77,17.46
25902,Af,Naturally Ventilated,0.0,0.36,1.1,31.1,31.1,76.5,0.4,1.86,70.05
25903,Af,Naturally Ventilated,0.0,0.32,1.1,31.6,31.6,72.5,0.2,2.14,82.79
25904,Af,Naturally Ventilated,2.0,0.26,1.1,32.1,32.1,67.4,0.5,2.11,81.48
25908,Af,Naturally Ventilated,1.0,0.11,1.0,33.1,33.1,68.7,0.1,2.8,97.78
25909,Af,Naturally Ventilated,2.0,0.18,1.2,33.1,33.1,68.7,0.3,2.68,96.44
25910,Af,Naturally Ventilated,1.0,0.09,1.0,32.9,32.9,73.6,0.3,2.57,94.84
25911,Af,Naturally Ventilated,1.0,0.18,1.0,32.5,32.5,74.5,0.1,2.6,95.24
25913,Af,Naturally Ventilated,0.0,0.33,1.0,32.2,32.2,73.6,0.1,2.54,94.17
25917,Af,Naturally Ventilated,0.0,0.19,1.0,33.2,33.2,70.6,0.1,2.91,98.64
25920,Af,Naturally Ventilated,1.0,0.35,1.0,32.5,32.5,72.3,0.1,2.67,96.31
25922,Af,Naturally Ventilated,-1.0,0.2,1.0,31.4,31.4,76.6,0.1,2.08,80.31
25923,Af,Naturally Ventilated,0.0,0.33,1.2,30.3,30.3,74.2,0.2,1.66,59.59
25924,Af,Naturally Ventilated,0.0,0.33,1.2,30.7,30.7,74.1,0.4,1.67,60.2
25925,Af,Naturally Ventilated,1.0,0.37,1.0,30.2,30.2,74.2,0.2,1.51,51.57
25926,Af,Naturally Ventilated,0.0,0.2,1.0,30.2,30.2,74.2,0.2,1.21,35.59
25927,Af,Naturally Ventilated,-1.0,0.27,1.0,30.5,30.5,71.5,0.1,1.67,60.1
25929,Af,Naturally Ventilated,-2.0,0.22,1.0,30.5,30.5,73.8,0.2,1.41,45.96
25930,Af,Naturally Ventilated,0.0,0.18,1.1,30.8,30.8,73.0,0.1,1.78,66.03
25931,Af,Naturally Ventilated,-3.0,0.17,1.0,30.8,30.8,73.0,0.3,1.31,40.87
25932,Af,Naturally Ventilated,0.0,0.17,1.2,30.3,30.3,74.2,0.0,1.72,62.97
25933,Af,Naturally Ventilated,-1.0,0.29,1.0,30.5,30.5,73.5,0.2,1.53,52.39
25934,Af,Naturally Ventilated,0.0,0.34,1.1,30.5,30.5,72.9,0.2,1.68,60.5
25935,Af,Naturally Ventilated,-3.0,0.27,1.1,30.3,30.3,76.4,0.5,1.22,36.12
25936,Af,Naturally Ventilated,0.0,0.19,1.2,30.4,30.4,75.6,0.1,1.71,62.17
25937,Af,Naturally Ventilated,0.0,0.25,1.1,30.4,30.4,75.6,0.1,1.71,62.54
25938,Af,Naturally Ventilated,0.0,0.2,1.1,30.7,30.7,75.5,0.4,1.36,43.65
25939,Af,Naturally Ventilated,-2.0,0.18,1.0,30.7,30.7,75.5,0.4,1.17,33.83
25940,Af,Naturally Ventilated,1.0,0.22,1.0,30.9,30.9,68.8,0.4,1.32,41.29
25941,Af,Naturally Ventilated,1.0,0.19,1.3,31.6,31.6,63.8,0.1,2.1,81.02
25942,Af,Naturally Ventilated,1.0,0.22,1.0,31.6,31.6,63.8,0.2,1.89,71.71
25943,Af,Naturally Ventilated,1.0,0.09,1.0,31.6,31.6,65.1,0.1,1.92,72.92
25944,Af,Naturally Ventilated,3.0,0.41,1.0,31.5,31.5,63.7,0.2,2.05,79.07
25946,Af,Naturally Ventilated,0.0,0.3,1.2,31.8,31.8,65.6,0.1,2.24,86.31
25947,Af,Naturally Ventilated,3.0,0.32,1.0,31.6,31.6,66.0,0.2,2.04,78.44
25948,Af,Naturally Ventilated,0.0,0.22,1.1,31.6,31.6,66.0,0.1,2.1,81.04
25949,Af,Naturally Ventilated,0.0,0.3,1.2,31.1,31.1,71.6,0.2,1.93,73.49
25950,Af,Naturally Ventilated,0.0,0.2,1.0,31.2,31.2,72.2,0.2,1.74,64.11
25951,Af,Naturally Ventilated,2.0,0.32,1.1,31.5,31.5,69.1,0.4,1.93,73.34
25952,Af,Naturally Ventilated,0.0,0.27,1.0,31.5,31.5,69.1,0.3,1.87,70.44
25953,Af,Naturally Ventilated,1.0,0.17,1.0,31.8,31.8,69.4,0.1,2.16,83.62
25954,Af,Naturally Ventilated,-1.0,0.3,1.0,32.0,32.0,66.7,0.3,2.15,83.21
25955,Af,Naturally Ventilated,0.0,0.19,1.0,32.5,32.5,65.2,0.2,2.38,90.57
25956,Af,Naturally Ventilated,0.0,0.17,1.0,32.2,32.2,64.5,0.2,2.18,84.16
25958,Af,Naturally Ventilated,0.0,0.16,1.1,31.2,31.2,69.7,0.2,1.74,63.65
25959,Af,Naturally Ventilated,3.0,0.31,1.0,31.4,31.4,70.6,0.2,1.98,75.93
25962,Af,Naturally Ventilated,0.0,0.2,1.2,29.3,29.3,72.1,0.1,1.25,37.57
25963,Af,Naturally Ventilated,0.0,0.27,1.1,29.4,29.4,69.5,0.1,1.26,38.16
25964,Af,Naturally Ventilated,0.0,0.27,1.2,29.4,29.4,69.5,0.1,1.36,43.19
25966,Af,Naturally Ventilated,0.0,0.36,1.1,29.7,29.7,61.7,0.4,1.03,27.3
25967,Af,Naturally Ventilated,1.0,0.44,1.1,29.5,29.5,64.5,0.1,1.46,48.74
25968,Af,Naturally Ventilated,3.0,0.26,1.0,30.2,30.2,64.5,0.1,1.44,47.43
25969,Af,Naturally Ventilated,0.0,0.18,1.0,29.7,29.7,64.5,0.3,0.56,11.59
25970,Af,Naturally Ventilated,-2.0,0.18,1.0,29.7,29.7,64.5,0.3,0.56,11.59
25972,Af,Naturally Ventilated,0.0,0.36,1.1,30.1,30.1,61.8,0.1,1.57,54.83
25973,Af,Naturally Ventilated,0.0,0.19,1.2,30.0,30.0,66.7,0.1,1.46,48.83
25977,Af,Naturally Ventilated,0.0,0.4,1.1,31.0,31.0,66.2,0.1,2.0,76.72
25978,Af,Naturally Ventilated,-1.0,0.52,1.2,29.7,29.7,71.0,0.0,1.79,66.73
