TSV,Clo,Met,Ta,Tr,RH,Vel
1,0.28,1,31.7,31.7,63.6,0.1
-1,0.51,1,30.1,30.1,73.1,0.2
-2,0.51,1,29.9,29.9,74.8,0.4
0,0.36,1,30.3,30.3,70.6,0.45
0,0.27,1.2,32.2,32.2,71.2,0.1
0,0.19,1.2,30.3,30.3,79.3,0.43
0,0.44,1.2,30.2,30.2,80.3,0
1,0.46,1,30.9,30.9,72.3,0.28
-1,0.46,1.2,30.8,30.8,69.8,0.18
1,0.46,1.2,30.8,30.8,70.5,0.35
1,0.28,1,30.7,30.7,69.5,0.48
1,0.28,1.2,30.2,30.2,73.5,0.12
1,0.57,1.2,28.7,28.7,30.7,0
1,0.57,1.2,30.7,30.7,17.9,0.1
2,0.66,1.2,31.2,31.2,17.5,0.1
1,0.67,1.2,31.9,31.9,15.5,0.43
1,0.57,1.2,29,29,16.3,0
0,0.59,1,33.7,33.7,18.6,0.1
1,0.5,1,33.6,33.6,18.6,0.48
0,0.44,1,31.3,31.3,66.5,0.43
0,0.27,1.2,31.5,31.5,63.8,0.1
-1,0.36,1,31.7,31.7,64.7,0.18
1,0.28,1,31.7,31.7,63.7,0.2
-1,0.53,1,30.8,30.8,67.4,0.15
-1,0.46,1,31.4,31.4,60.8,0.13
0,0.38,1,31.4,31.4,60.7,0.38
-1,0.19,1,31.8,31.8,61.8,0.18
0,0.27,1,31.7,31.7,57.1,0.1
1,0.54,1,32.9,32.9,52.5,0.1
1,0.54,1,32.7,32.7,52.7,0.2
0,0.27,1,32.8,32.8,52.7,0.4
3,0.36,1,33.9,33.9,49.3,0.35
3,0.27,1,33.4,33.4,49.6,0.15
2,0.71,1,32.4,32.4,54.2,0
2,0.36,1,32.4,32.4,54.2,0
0,0.28,1,28.5,28.5,76.9,0.1
0,0.27,1,30.4,30.4,76.5,0.3
-1,0.28,1.2,27.8,27.8,80.6,0.33
-1,0.54,1,28.4,28.4,78.9,0.13
-1,0.37,1,27.8,27.8,89.3,0
-1,0.27,1,27.6,27.6,89.6,0.13
-1,0.54,1.2,27.4,27.4,92.4,0.13
-1,0.54,1,27.9,27.9,91.7,0
-1,0.28,1,27.9,27.9,90,0
0,0.27,1,27.6,27.6,89,0.05
-1,0.55,1,27.1,27.1,95.3,0.5
-1,0.38,1.2,27.5,27.5,93.7,0
-1,0.19,1,29.7,29.7,75.1,0
-2,0.28,1,27.9,27.9,82.9,0
-1,0.36,1.2,28.1,28.1,84.1,0
-1,0.36,1,27.4,27.4,88.5,0
-1,0.71,1,28.3,28.3,81.6,0.25
-1,0.38,1,27.7,27.7,87.9,0.48
-1,0.29,1.2,29,29,83.4,0
-1,0.37,1,28,28,84.8,0.1
-1,0.65,1,28,28,84.2,0
-1,0.66,1,27.9,27.9,84,0
0,0.38,1,27.6,27.6,85,0.13
-2,0.53,1,28.3,28.3,83.2,0
0,0.4,1,28.4,28.4,83.9,0.1
-1,0.36,1,28.4,28.4,83.5,0
1,0.37,1,29.4,29.4,73.2,0
0,0.54,1,29.2,29.2,75.5,0
0,0.53,1,29.1,29.1,81.5,0.2
-1,0.54,1,30.3,30.3,73.7,0.3
-1,0.27,1,29.6,29.6,76.7,0.15
0,0.28,1,28.6,28.6,79.3,0.45
-1,0.36,1,29.2,29.2,77.5,0.2
1,0.54,1,29.2,29.2,77.5,0.1
-1,0.38,1,30,30,60.1,0.25
0,0.27,1,30.4,30.4,61.1,0.1
-1,0.57,1,29.8,29.8,64.4,0.45
0,0.62,1,29.7,29.7,68.8,0.45
1,0.55,1,29.8,29.8,68.1,0.23
0,0.38,1,31.5,31.5,67.4,0
0,0.29,1.2,31.8,31.8,66,0
-1,0.38,1,31.2,31.2,68.5,0
1,0.36,1.2,31,31,69.8,0
-1,0.28,1.2,30.7,30.7,73.4,0
0,0.54,1.2,30.7,30.7,66.9,0
-1,0.36,1,30.4,30.4,76.4,0.13
0,0.57,1,30,30,76.6,0.45
0,0.55,1,31.2,31.2,69.9,0.45
1,0.54,1,31.1,31.1,69.4,0.03
1,0.62,1.2,31.6,31.6,57.5,0.2
1,0.36,1,30.3,30.3,43.6,0.38
0,0.27,1,30.1,30.1,39,0.43
0,0.28,1,31.4,31.4,37.7,0
1,0.54,1,31.7,31.7,31.5,0
0,0.28,1,30.4,30.4,38.2,0.2
0,0.37,1,32.4,32.4,29.2,0.5
1,0.28,1,31.5,31.5,31,0.28
0,0.2,1,32.4,32.4,35.7,0.18
0,0.38,1,31.2,31.2,36.4,0.4
-1,0.27,1,31.8,31.8,43.4,0.48
1,0.72,1,31.8,31.8,44,0.2
-1,0.56,1,31.9,31.9,43.3,0.05
1,0.27,1,30.7,30.7,41.5,0.15
0,0.55,1,31.2,31.2,39.5,0.3
1,0.19,1,31.9,31.9,40.3,0.2
1,0.38,1.2,31.8,31.8,41.1,0.18
0,0.27,1,31.6,31.6,37.6,0.25
0,0.27,1,32.1,32.1,34.2,0.4
-1,0.28,1,31.6,31.6,34.3,0.48
-1,0.54,1,31.8,31.8,39,0
-1,0.27,1,32,32,32.7,0.33
0,0.36,1,31.9,31.9,35.5,0
1,0.56,1,32.1,32.1,36.1,0
0,0.28,1,32.1,32.1,35.7,0
0,0.35,1,31.5,31.5,37.1,0.1
1,0.36,1,32.1,32.1,36.7,0
0,0.54,1,31.7,31.7,35.4,0.25
1,0.27,1,31.4,31.4,36.2,0
0,0.44,1.2,31.7,31.7,31.8,0.1
-1,0.36,1,31.6,31.6,31.8,0.05
-1,0.36,1,30.7,30.7,32.3,0.13
2,0.36,1,30.8,30.8,33.1,0.28
1,0.48,1,30.9,30.9,36.1,0.45
0,0.27,1,31.7,31.7,29.5,0.38
0,0.49,1,31.1,31.1,25.4,0.05
0,0.27,1,33.4,33.4,29.8,0.3
0,0.54,1,31.7,31.7,23.8,0.23
1,0.39,1,32.3,32.3,23.6,0.35
1,0.65,1,32.2,32.2,23.2,0.48
0,0.37,1,32.3,32.3,23.4,0.48
0,0.54,1,30.6,30.6,25.9,0.4
0,0.54,1,30.9,30.9,26.6,0.28
-1,0.54,1,29.6,29.6,33.4,0.45
0,0.54,1,30,30,31.4,0.08
0,0.54,1,30.8,30.8,31.1,0.45
-1,0.36,1,30.5,30.5,30.3,0.48
0,0.38,1,31.3,31.3,28.2,0.35
0,0.54,1,30.8,30.8,26.9,0.1
0,0.54,1,31.8,31.8,29.6,0.5
1,0.27,1,31.6,31.6,21.2,0.35
1,0.27,1,31.8,31.8,19.4,0.48
0,0.27,1,31.8,31.8,20.8,0.33
0,0.38,1,31.8,31.8,21.1,0.43
1,0.27,1,32.5,32.5,21.5,0.4
0,0.55,1,30.7,30.7,22,0.5
-1,0.54,1,31.3,31.3,20.2,0.28
1,0.54,1,30.4,30.4,18.5,0.35
2,0.53,1,30.1,30.1,19.3,0.23
0,0.57,1.2,30.1,30.1,18,0
-1,0.27,1.2,29.7,29.7,17.2,0
