TSV,Clo,Met,Ta,Tr,RH,Vel
0,0.55,1,19.6,19.6,33.8,0.24
0,0.92,1,18.8,18.8,35,0.22
0,0.76,1,19.4,19.4,34.1,0.23
-3,1.07,1,19.3,19.3,28.1,0.27
-1,0.82,1,19,19,28.8,0.25
0,0.55,1,19.8,19.8,33.1,0.22
-1,0.64,1,20,20,31.8,0.26
-2,0.81,1,20.5,20.5,36.4,0.24
-1,0.79,1,21,21,40.7,0.24
0,0.54,1,21.5,21.5,36.9,0.23
-1,0.62,1,20.6,20.6,38.1,0.2
0,0.76,1,20.3,20.3,36.5,0.22
-1,0.79,1,19.8,19.8,36.5,0.28
0,0.79,1,21.1,21.1,32.7,0.23
-3,0.8,1,20.6,20.6,35.4,0.29
1,0.82,1,20.6,20.6,35.4,0.29
0,0.67,1,22.1,22.1,30.8,0.25
2,0.56,1,21.5,21.5,38.5,0.31
-1,0.53,1,20.6,20.6,35.9,0.26
-1,0.55,1,19.7,19.7,42.1,0.22
0,0.79,1,22,22,35.3,0.22
-1,0.72,1,22.4,22.4,33.8,0.21
-1,0.65,1,20,20,39.1,0.22
-1,0.53,1,19.4,19.4,40.7,0.22
-1,0.62,1,21.1,21.1,37.6,0.22
-2,0.37,1,21.5,21.5,37.8,0.23
-3,0.71,1,19.7,19.7,39.2,0.24
-1,0.61,1,19.5,19.5,41,0.27
-1,0.69,1,19.4,19.4,41.7,0.23
-2,0.65,1,21.7,21.7,34.6,0.24
1,0.65,1,21.6,21.6,35,0.24
1,0.65,1,20.4,20.4,38.9,0.23
1,0.65,1,20.8,20.8,39.8,0.25
-1,0.62,1,20.9,20.9,38.7,0.24
-1,0.57,1,20.1,20.1,35.3,0.23
0,0.62,1,19.9,19.9,34.3,0.3
0,0.48,1,20.3,20.3,43.1,0.23
0,0.77,1,20.5,20.5,42.9,0.22
0,0.58,1,19.6,19.6,38.7,0.27
0,0.8,1,19.8,19.8,36.1,0.24
-1,0.64,1,20.9,20.9,33.5,0.23
-3,0.61,1,20.4,20.4,35.8,0.23
-2,0.62,1,20.5,20.5,37.6,0.24
-1,0.86,1,21.6,21.6,35.1,0.23
-1,0.38,1,21.4,21.4,34.8,0.23
-1,0.65,1,21.8,21.8,34,0.26
-1,0.8,1,20.8,20.8,35.2,0.25
-2,1.06,1,21,21,38.1,0.22
1,0.67,1,21.6,21.6,34.3,0.28
-1,0.53,1,21.9,21.9,32.1,0.27
0,0.4,1,21.8,21.8,32.3,0.25
0,0.57,1,20.4,20.4,36.2,0.23
-1,0.61,1,20.4,20.4,35.7,0.24
0,0.57,1,20,20,38.1,0.23
-1,0.66,1,20.1,20.1,38.7,0.23
0,0.62,1,21.2,21.2,33.2,0.22
-1,0.62,1,21.2,21.2,32.6,0.23
-1,0.65,1,21.6,21.6,31.6,0.23
-1,0.54,1,21.2,21.2,31.7,0.22
-1,0.94,1,19.7,19.7,43.3,0.25
-1,0.76,1,19.1,19.1,42,0.29
0,0.74,1,19.4,19.4,41,0.29
0,0.71,1,19.5,19.5,41.8,0.24
-1,0.67,1,20.1,20.1,50.4,0.23
-1,0.78,1,19.8,19.8,44.9,0.23
-1,0.8,1,19.7,19.7,41.7,0.25
-2,0.79,1,19.4,19.4,42.7,0.26
0,0.79,1,21,21,38.9,0.25
-2,0.89,1,20.2,20.2,41,0.25
-1,0.54,1,19.8,19.8,38,0.23
-2,0.54,1,19.8,19.8,42,0.23
-2,0.79,1,19.7,19.7,40.2,0.33
-1,0.65,1,21.4,21.4,36,0.23
-2,0.55,1,20,20,41.2,0.24
0,0.54,1,21.9,21.9,38.2,0.23
-1,0.55,1,21.8,21.8,40.4,0.22
0,0.54,1,19.8,19.8,40.1,0.25
-2,0.79,1,21.9,21.9,36,0.22
-1,0.91,1,20.3,20.3,49.6,0.24
0,0.72,1,21,21,36.2,0.28
-1,0.73,1,19.6,19.6,59.3,0.24
-1,0.45,1,20.6,20.6,46.2,0.23
-1,0.54,1,20.2,20.2,43,0.22
-1,0.61,1,21,21,44.4,0.25
-1,0.92,1,23.1,23.1,48.2,0.24
0,0.61,1,21.8,21.8,49.1,0.25
1,0.64,1,21.9,21.9,49.5,0.24
-3,0.73,1,20.9,20.9,50.5,0.23
0,0.48,1,20.6,20.6,52.8,0.23
1,0.64,1,21,21,53.3,0.26
0,0.74,1,22.2,22.2,49.6,0.26
1,0.64,1,22.2,22.2,49.6,0.23
1,0.73,1,23,23,48.6,0.24
-3,0.72,1,23,23,48.6,0.23
-1,0.55,1,23.3,23.3,47.5,0.22
-1,0.62,1,23.3,23.3,47.7,0.23
0,0.49,1,23.5,23.5,49.6,0.23
0,0.56,1,20.1,20.1,73.1,0.22
-1,0.28,1.2,19.6,19.6,75.9,0.25
-1,0.73,1,19.9,19.9,75.1,0.26
0,0.49,1,20.4,20.4,73.9,0.24
-2,0.82,1,20.3,20.3,74,0.3
-1,0.77,1.2,19.7,19.7,73.8,0.26
-1,0.82,1,20.6,20.6,64.7,0.25
1,0.8,1,20.8,20.8,64.2,0.27
-3,0.67,1,20.8,20.8,63.8,0.22
-3,0.92,1,20.6,20.6,64.1,0.23
-2,0.65,1,20.3,20.3,66.5,0.23
-2,0.65,1,20.2,20.2,66.6,0.21
0,0.81,1,19.6,19.6,66.7,0.26
0,0.44,1,21,21,63.9,0.25
0,0.66,1,21,21,64,0.24
-2,0.72,1,20.8,20.8,66.4,0.23
-1,0.65,1,20.7,20.7,66.2,0.23
0,0.52,1,19.9,19.9,64.6,0.23
-3,0.75,1,20.9,20.9,64.4,0.22
-2,0.61,1,21,21,64.1,0.23
-3,0.84,1,21.4,21.4,62.8,0.25
-1,0.53,1,21.3,21.3,41.6,0.24
-2,0.54,1,19.8,19.8,46,0.23
-2,0.82,1,20.2,20.2,46.1,0.22
0,0.77,1,20.2,20.2,49.6,0.22
-1,0.55,1,20.4,20.4,48.7,0.24
-1,0.62,1,20,20,50.6,0.22
-1,0.79,1.2,17.6,17.6,60.4,0.29
-1,0.97,1.2,18.2,18.2,59.6,0.27
-2,0.64,1.2,19,19,57.7,0.25
-2,0.78,1,17.6,17.6,60.4,0.26
-1,0.7,1,18.3,18.3,61.1,0.32
-1,0.57,1.2,18.5,18.5,61.1,0.28
-2,0.9,1,17.5,17.5,59.5,0.3
0,0.8,1,18.9,18.9,19.5,0.34
0,0.64,1,19.9,19.9,49.8,0.24
-1,0.57,1.2,20.1,20.1,51.1,0.27
-2,0.54,1.2,19.7,19.7,51.5,0.33
-3,0.53,1,19.9,19.9,50.1,0.26
-3,0.79,1,18,18,38.7,0.22
-1,0.79,1,16.5,16.5,39.1,0.21
2,0.79,1,18.4,18.4,37,0.22
-1,0.71,1,19,19,37.1,0.21
0,0.99,1,20.7,20.7,31.2,0.34
0,0.61,1,19.5,19.5,32.9,0.27
-1,0.71,1,19.5,19.5,35.5,0.23
-1,0.54,1,19.9,19.9,33,0.21
-1,0.71,1,18.7,18.7,34.9,0.24
-2,0.71,1,17.9,17.9,40.9,0.23
-2,0.65,1,19.4,19.4,35.5,0.25
0,0.61,1,18.8,18.8,38.1,0.22
-1,0.61,1,19,19,37.2,0.21
2,0.8,1,19,19,37.6,0.25
2,0.7,1,18.9,18.9,37.6,0.24
-1,0.79,1,19.1,19.1,36,0.23
-2,0.83,1,19.3,19.3,38.1,0.27
-2,0.97,1,18.5,18.5,39.2,0.26
1,0.65,1,18.8,18.8,39.3,0.31
0,0.65,1,18.8,18.8,38.8,0.27
-1,0.69,1,19.1,19.1,38.2,0.28
-2,1.15,1.2,20.7,20.7,30.1,0.35
-1,0.53,1.2,21,21,28.9,0.29
1,0.71,1,20.5,20.5,25.1,0.31
1,0.36,1.2,21.2,21.2,24.6,0.29
-2,0.55,1,21.8,21.8,31.9,0.29
1,0.54,1,23.8,23.8,24.5,0.27
0,0.65,1,21.8,21.8,23.4,0.26
-1,0.82,1,18.1,18.1,63.1,0.27
1,0.57,1,20.8,20.8,54.8,0.25
-2,0.63,1.2,17.8,17.8,60.8,0.29
0,0.85,1.2,18.9,18.9,63.9,0.26
-1,0.63,1.2,19.3,19.3,64.6,0.27
-1,0.53,1.2,20.3,20.3,58.4,0.3
-1,0.69,1,19.3,19.3,63.1,0.27
0,0.52,1,19.8,19.8,64.7,0.26
-1,0.71,1.2,20.3,20.3,60.6,0.24
-1,0.52,1.2,20.2,20.2,62,0.35
-1,0.53,1.2,19.7,19.7,59.3,0.3
0,0.55,1,20.7,20.7,57.4,0.38
-1,0.55,1,20.2,20.2,61.4,0.27
-1,0.57,1.2,20.9,20.9,57.2,0.26
-1,0.79,1,21.9,21.9,53.1,0.4
-1,0.57,1.2,21.4,21.4,53.8,0.26
-1,0.48,1,21.7,21.7,52.7,0.47
0,0.57,1,22.3,22.3,52.3,0.27
0,0.82,1,22.4,22.4,50.7,0.43
0,0.49,1,23.3,23.3,44.9,0.28
-1,0.57,1,19.1,19.1,58.6,0.27
-1,0.62,1,18.8,18.8,58.9,0.27
-2,0.53,1,20.9,20.9,56,0.25
-1,0.53,1,21.3,21.3,49.8,0.4
0,0.58,1,22.4,22.4,51.2,0.28
-1,0.36,1,22.4,22.4,48.5,0.27
0,0.47,1,21.7,21.7,48.8,0.25
-1,0.61,1,21.8,21.8,50.6,0.26
-2,0.82,1,22.4,22.4,49.6,0.26
0,0.65,1,22.1,22.1,55.4,0.29
0,0.54,1,21.9,21.9,52.8,0.28
-2,0.57,1,25,25,42.2,0.36
-1,0.57,1,23.4,23.4,48.1,0.36
1,0.65,1,24.5,24.5,46.3,0.36
-1,0.57,1,24.6,24.6,44.5,0.29
0,0.27,1,24.4,24.4,45.1,0.3
0,0.27,1,23.6,23.6,49,0.29
0,0.57,1,25.3,25.3,40.5,0.28
0,0.71,1,18,18,49.6,0.27
0,0.79,1,19.5,19.5,56.7,0.33
-2,0.54,1,20.6,20.6,55.5,0.26
-1,0.69,1,22.4,22.4,56.7,0.3
-2,0.36,1.2,22.1,22.1,57.6,0.29
0,0.36,1,23,23,45.7,0.32
0,0.28,1,22.9,22.9,48.6,0.25
1,0.28,1.2,24.6,24.6,46.8,0.26
1,0.27,1.2,22.6,22.6,48,0.28
-3,0.97,1,20.4,20.4,52,0.3
-2,0.55,1,21,21,51.5,0.29
0,0.55,1,21.6,21.6,39.7,0.36
1,0.56,1,26.2,26.2,27.1,0.26
-2,0.91,1,25.1,25.1,25.4,0.27
0,0.36,1,25.5,25.5,24.9,0.3
1,0.36,1,22.3,22.3,32.9,0.28
0,0.49,1,23.8,23.8,27.8,0.26
0,0.53,1,24.1,24.1,32.5,0.29
0,0.54,1,23.8,23.8,33.5,0.25
-1,0.37,1,24.7,24.7,29.7,0.3
0,0.54,1,23.9,23.9,28.4,0.31
0,0.36,1,24.8,24.8,29.7,0.25
0,0.36,1,25.1,25.1,27.8,0.3
0,0.47,1,24.7,24.7,26.7,0.25
-1,0.55,1.2,25,25,23.7,0.28
1,0.57,1,23.3,23.3,27.6,0.25
0,0.4,1,23.3,23.3,28.1,0.28
-2,0.47,1,22.4,22.4,28.1,0.25
2,0.39,1,23.9,23.9,26.9,0.25
0,0.27,1,23.7,23.7,26.9,0.25
0,0.36,1,24.2,24.2,25.6,0.28
1,0.55,1,24.2,24.2,26.5,0.29
-1,0.4,1,24.4,24.4,27.1,0.28
0,0.89,1.2,17.8,17.8,69,0.3
0,0.75,1,19.2,19.2,70,0.42
-1,0.78,1.1,18,18,70,0.51
-1,1.02,1.2,16.1,16.1,72,0.42
0,0.93,1,19,19,68,0.5
-1,0.69,1.1,17.3,17.3,67,0.32
0,0.82,1.2,18.3,18.3,71.5,0.29
0,0.73,1.3,17,17,70,0.31
0,0.92,1.2,18,18,70,0.26
-1,0.87,1.3,18,18,68,0.26
-1,0.89,1.2,18.3,18.3,69,0.31
0,0.97,1.2,17.9,17.9,68,0.36
-1,1.01,1.2,17.5,17.5,69,0.38
0,0.79,1.2,18.3,18.3,72,0.29
0,0.76,1.3,16.3,16.3,68,0.17
0,0.53,1.2,16.5,16.5,68,0.13
1,0.85,1.1,17.1,17.1,67,0.15
0,0.81,1.3,17.5,17.5,67,0.13
-1,0.72,1.2,16.7,16.7,69,0.16
-1,0.72,1.2,16.3,16.3,69,0.17
2,1.19,1.2,16.3,16.3,68,0.17
0,0.88,1.2,17.1,17.1,68,0.16
0,0.88,1.2,17.6,17.6,68,0.17
0,0.71,1.2,17.2,17.2,73,0.21
0,0.66,1.1,16.5,16.5,65,0.16
0,0.85,1.3,16.5,16.5,65,0.16
0,0.67,1.2,17,17,50,0.21
0,0.78,1.3,17,17,66,0.15
-1,0.79,1.2,16.4,16.4,68,0.17
0,0.72,1.2,17.8,17.8,68,0.16
1,0.99,1.1,22.4,22.4,70,0.24
1,0.97,1.3,18.3,18.3,75,0.1
0,0.76,1.2,19,19,78,0.08
-1,1.02,1.3,16.6,16.6,66,0.13
0,0.77,1.2,19.5,19.5,68,0.11
0,0.89,1.2,19.5,19.5,68,0.11
0,0.87,1.2,17.5,17.5,71,0.12
0,0.97,1.3,19.4,19.4,69,0.21
1,0.67,1.3,19.3,19.3,69,0.31
-1,0.73,1.2,17.7,17.7,69,0.46
-1,0.81,1.3,17.6,17.6,73,0.38
0,0.42,1.1,18.5,18.5,70,0.2
0,0.84,1.1,16.9,16.9,73,0.16
-1,0.76,1.2,18.4,18.4,61,0.24
0,0.75,1.2,18.4,18.4,61,0.24
-1,1.08,1.1,17.9,17.9,63,0.22
-2,1.05,1.1,19.3,19.3,63,0.17
0,0.78,1.3,18.7,18.7,70,0.25
0,0.97,1.1,17.5,17.5,65,0.14
-1,0.95,1.2,19.4,19.4,64,0.16
0,1.17,1.2,18.4,18.4,70,0.27
0,0.66,1.1,17.5,17.5,65,0.14
0,0.81,1.2,20.1,20.1,60,0.47
0,0.72,1.2,18.5,18.5,64,0.27
1,0.98,1.1,18.1,18.1,61,0.12
0,0.84,1.2,18.9,18.9,70,0.16
0,0.92,1.2,18.9,18.9,70,0.16
0,1.08,1.2,17.9,17.9,65,0.22
0,0.38,1.3,24.2,24.2,65,0.21
1,0.38,1.1,24.1,24.1,68,0.1
0,0.5,1.1,21,21,59,0.19
0,0.45,1,23.2,23.2,62,0.15
-1,0.38,1,21.6,21.6,60,0.16
1,0.18,1,24.7,24.7,59,0.14
0,0.5,1.1,24.5,24.5,65,0.17
0,0.33,1.1,24.7,24.7,68,0.19
1,0.77,1.3,25.4,25.4,72,0.18
0,0.4,1,25.1,25.1,60,0.14
0,0.39,1.3,25.1,25.1,60,0.17
1,0.18,1,25.2,25.2,70,0.09
1,0.33,1.3,25,25,60,0.16
1,0.33,1.3,24.3,24.3,50.5,0.08
1,0.39,1.3,26.1,26.1,54,0.32
2,0.45,1.3,24.1,24.1,52,0.32
1,0.38,1.3,24,24,55,0.17
0,0.45,1.2,24,24,55,0.17
2,0.4,1,24.5,24.5,68,0.06
0,0.47,1.3,23.6,23.6,62.5,0.2
0,0.34,1,23.3,23.3,72,0.07
2,0.57,1,22.4,22.4,74,0.06
0,0.47,1.3,23.5,23.5,64,0.07
2,0.96,1.3,24.9,24.9,61,0.08
0,0.73,1.3,24.3,24.3,60,0.14
1,0.34,1.3,23.8,23.8,64,0.19
0,0.47,1.1,23.4,23.4,59,0.26
0,0.56,1.3,23.4,23.4,62,0.23
0,0.45,1,23.3,23.3,59,0.14
0,0.56,1,24.7,24.7,62,0.25
1,0.65,1.1,24.3,24.3,70,0.05
0,0.45,1,22.4,22.4,75,0.11
0,0.39,1,27,27,58,0.11
0,0.45,1,26.9,26.9,57.5,0.1
1,0.27,1,26,26,57,0.26
0,0.18,1,27.7,27.7,52,0.1
2,0.18,1.1,28.2,28.2,44,0.11
3,0.34,1.1,28.6,28.6,44,0.12
1,0.51,1.3,27.2,27.2,56,0.28
2,0.4,1.1,30.1,30.1,44,0.24
1,0.45,1,30.1,30.1,44,0.26
1,0.18,1,28.2,28.2,56,0.11
1,0.33,1,30.1,30.1,44,0.26
1,0.38,1.3,30.2,30.2,43,0.27
0,0.26,1.3,26.4,26.4,56,0.31
2,0.35,1,25.7,25.7,62,0.13
1,0.47,1.3,25.7,25.7,62,0.14
3,0.37,1.3,26.1,26.1,67,0.18
-2,0.36,1,27.4,27.4,61,0.23
1,0.2,1.1,26,26,69,0.3
1,0.29,1.3,25,25,69,0.32
1,0.52,1.1,26.2,26.2,69,0.1
2,0.47,1.3,26.5,26.5,68,0.09
0,0.44,1,25.5,25.5,68,0.31
2,0.35,1,26.4,26.4,69,0.14
2,0.62,1.3,26.9,26.9,58,0.35
2,0.47,1.1,26.3,26.3,68,0.13
2,0.47,1.1,27.8,27.8,65,0.14
1,0.51,1.3,25.4,25.4,68,0.15
2,0.33,1.2,29.5,29.5,66,0.08
1,0.33,1.2,29.5,29.5,66,0.11
1,0.24,1.1,28.1,28.1,60,0.38
1,0.31,1.2,27.5,27.5,59,0.46
1,0.31,1,27,27,61,0.31
1,0.21,1,26.9,26.9,61,0.31
0,0.38,1.2,28,28,64,0.26
1,0.47,1.2,26.2,26.2,57,0.26
1,0.27,1,27.3,27.3,54,0.11
1,0.47,1.2,27.2,27.2,51.5,0.28
-1,0.2,1.2,27.1,27.1,63,0.28
0,0.37,1,26.7,26.7,56,0.36
1,0.34,1.2,28.8,28.8,51.5,0.08
1,0.29,1,26.2,26.2,60,0.15
2,0.42,1.2,26,26,60.5,0.26
1,0.47,1.2,26.8,26.8,52,0.22
2,0.47,1.2,27.8,27.8,58,0.17
1,0.27,1.2,26.1,26.1,61,0.12
3,0.4,1.2,27.8,27.8,58,0.17
1,0.62,1.1,26.4,26.4,58.5,0.31
3,0.47,1,28,28,53,0.07
2,0.47,1,28,28,53,0.07
1,0.2,1,25.4,25.4,57,0.06
1,0.47,1.1,26.8,26.8,52,0.22
2,0.32,1,29.9,29.9,66,0.1
1,0.35,1,29,29,76.5,0.26
2,0.35,1.1,29.3,29.3,68,0.12
3,0.37,1,30.9,30.9,79,0.06
2,0.29,1,29,29,76.5,0.26
3,0.35,1,30.9,30.9,79,0.11
2,0.4,1.1,29.9,29.9,66,0.11
2,0.47,1.1,29.5,29.5,72,0.29
2,0.29,1,29.3,29.3,68,0.12
0,0.33,1,27,27,63,0.26
0,0.18,1,27,27,63,0.26
0,0.18,1.1,28.6,28.6,61,0.33
1,0.27,1.3,29,29,60,0.29
0,0.35,1.1,26.8,26.8,63,0.17
0,0.25,1,26.4,26.4,64,0.21
0,0.45,1,26.3,26.3,67,0.13
0,0.35,1.1,28,28,65,0.31
1,0.29,1.1,28,28,65,0.31
1,0.41,1,27.8,27.8,61,0.36
2,0.29,1,27.8,27.8,61,0.36
0,0.38,1,25.7,25.7,59,0.25
0,0.25,1,25.8,25.8,58,0.22
0,0.33,1,25.8,25.8,58,0.22
0,0.47,1,27.1,27.1,60,0.24
0,0.26,1,27.4,27.4,58,0.24
0,0.41,1.2,27.1,27.1,67,0.44
1,0.47,1.2,29,29,60,0.29
1,0.27,1.1,27,27,63,0.18
0,0.33,1,27.1,27.1,67,0.44
1,0.47,1.1,28,28,61,0.23
1,0.35,1,28,28,69,0.29
1,0.31,1.1,27.6,27.6,74,0.17
1,0.4,1.2,27.4,27.4,73,0.37
1,0.47,1.2,27.2,27.2,65,0.23
1,0.47,1.1,30.1,30.1,64,0.27
1,0.37,1.1,26,26,71,0.23
1,0.55,1.2,26.3,26.3,56,0.29
1,0.47,1.1,26.1,26.1,72,0.22
1,0.55,1.1,27,27,59,0.31
2,0.41,1.1,29,29,75,0.18
2,0.47,1,29,29,75,0.18
0,0.29,1,28.2,28.2,73,0.22
1,0.47,1.3,27.2,27.2,61,0.21
1,0.47,1.3,28,28,61,0.23
0,0.4,1,23,23,56,0.18
0,0.2,1.1,23,23,56,0.18
0,0.43,1,23.1,23.1,59,0.17
0,0.43,1.1,23.2,23.2,58,0.17
0,0.35,1,25.3,25.3,48,0.2
0,0.51,1.1,23.2,23.2,58,0.16
0,0.51,1.2,23,23,58,0.15
0,0.49,1.1,23.4,23.4,63,0.15
0,0.35,1.1,23,23,56,0.15
0,0.39,1,24.5,24.5,59,0.18
0,0.33,1,24.5,24.5,59,0.18
0,0.3,1.2,23,23,58,0.17
0,0.27,1.1,24,24,50,0.21
0,0.4,1.2,24,24,50,0.21
0,0.35,1,23.2,23.2,55,0.17
0,0.2,1.1,22.6,22.6,56,0.19
0,0.42,1.1,22.6,22.6,56,0.19
0,0.34,1,23.2,23.2,58,0.17
0,0.28,1.1,25.8,25.8,66,0.28
1,0.59,1.2,22.9,22.9,58,0.15
-1,0.41,1,22.5,22.5,67,0.14
0,0.41,1.1,23.1,23.1,68,0.15
-1,0.36,1,22.1,22.1,65,0.16
-1,0.51,1.3,22.1,22.1,65,0.16
-1,0.42,1,23,23,68,0.14
0,0.54,1.2,23.9,23.9,57,0.18
1,0.42,1.1,24.4,24.4,63,0.1
-1,0.51,1.2,21.7,21.7,68,0.14
0,0.41,1.2,25.8,25.8,59,0.1
-1,0.61,1.2,23,23,67,0.29
0,0.47,1.1,22.7,22.7,68,0
-1,0.61,1.1,22.5,22.5,68,0.28
0,0.54,1.1,23.9,23.9,58,0.09
-2,0.54,1.1,22,22,67,0.18
0,0.46,1.2,23.4,23.4,57.5,0.2
0,0.49,1.2,22.9,22.9,57.5,0.12
0,0.52,1,21,21,56,0.25
-2,0.66,1,21,21,58,0.21
-1,0.97,1,21,21,57,0.25
-2,0.97,1,18.7,18.7,56,0.25
-1,0.93,1.2,19.2,19.2,60,0.15
0,0.57,1.1,20.9,20.9,59,0.17
-2,0.35,1.1,21.3,21.3,67,0
0,0.94,1.2,19.4,19.4,58,0.16
0,0.61,1.1,22.9,22.9,75,0.23
-2,1.02,1.3,17.6,17.6,57.8,0.18
0,0.93,1.3,18.2,18.2,59,0.13
-2,0.7,1,18,18,56,0.2
0,0.78,1,18,18,60,0.13
0,0.73,1.2,18,18,60,0.13
-1,0.6,1.2,17.3,17.3,60,0.32
0,0.61,1.3,16.7,16.7,62,0.08
-1,0.8,1.2,17.8,17.8,56,0.18
-1,0.82,1.1,17.5,17.5,56,0.23
0,0.71,1.2,18.5,18.5,59,0.21
0,0.73,1,18.5,18.5,59,0.21
-1,0.92,1.1,16.5,16.5,56,0.15
0,0.73,1,17.1,17.1,58,0.22
-1,0.67,1,18.5,18.5,60,0.17
-1,0.84,1.3,18.1,18.1,70,0.19
-1,0.73,1,18.1,18.1,70,0.19
-1,0.91,1.1,18,18,68,0.2
0,0.91,1.2,18.8,18.8,68,0.25
-1,0.74,1,16.8,16.8,69,0.22
-1,0.82,1.1,17,17,68,0.19
-1,0.74,1.2,16.9,16.9,70,0.19
-1,0.88,1.1,19,19,68,0.28
-1,0.9,1.1,18.5,18.5,62,0.17
0,0.57,1,18.5,18.5,62,0.17
0,0.76,1.3,18.2,18.2,65,0.24
0,0.74,1.2,18.5,18.5,69,0.21
-1,0.91,1.1,19.1,19.1,65,0.26
0,0.93,1.1,18.8,18.8,67,0.27
-1,0.85,1.1,18.7,18.7,68,0.29
-1,1.06,1.1,18.2,18.2,68,0.36
0,1.02,1.1,20.1,20.1,65,0.32
-1,0.86,1,18.9,18.9,65,0.28
0,0.84,1.2,20,20,65,0.3
0,1.1,1.3,18.6,18.6,66,0
1,0.86,1.2,29.7,29.7,74.6,0.17
0,0.9,1.1,30.1,30.1,73.8,0.41
0,0.59,1.3,30.2,30.2,74.2,0.38
0,0.67,1.1,30.1,30.1,78.3,0.41
0,0.61,1.1,30.3,30.3,77,0.37
0,0.9,1.1,27.6,27.6,83.4,0.33
0,0.9,1.1,29.2,29.2,77,0.47
0,0.64,1.2,30.2,30.2,74.9,0.4
-1,0.6,1.1,30.4,30.4,74.3,0.5
-1,0.9,1.1,30.5,30.5,70.9,0.28
1,0.64,1.1,29.2,29.2,82,0.47
0,0.64,1.1,29.1,29.1,79.2,0.42
0,0.57,1.2,29.6,29.6,79.6,0.39
-1,0.49,1.2,30.1,30.1,77.2,0.27
0,0.52,1.1,29.3,29.3,80.6,0.32
0,0.49,1.1,29.4,29.4,80.4,0.51
0,0.67,1.1,30.1,30.1,76.8,0.45
0,0.64,1.3,29.8,29.8,78.2,0.43
0,0.46,1.1,29.5,29.5,77.1,0.43
0,0.59,1.3,29.4,29.4,78,0.36
1,0.67,1.1,29,29,78.9,0.12
0,0.74,1.3,30,30,74.4,0.46
0,0.67,1.1,30,30,76.2,0.42
-0.5,0.76,1.1,29.8,29.8,67.6,0.29
-1,0.53,1.2,31,31,70.9,0.32
1,0.74,1.1,30.5,30.5,73.5,0.26
1,0.61,1.1,30.5,30.5,73.3,0.28
-1,0.61,1.1,28.4,28.4,81.4,0.46
0,0.61,1.1,29.8,29.8,76.6,0.3
0,0.68,1.1,28.3,28.3,81.8,0.4
-1,0.63,1.1,28.5,28.5,81.8,0.35
-1,0.67,1.1,27.7,27.7,55.3,0.19
0,0.57,1.1,28.1,28.1,83.4,0.23
1,0.73,1.1,28.1,28.1,84.8,0.2
0,0.74,1.1,28.2,28.2,83.1,0.18
-1,0.57,1.1,28,28,86.8,0.27
-1,0.74,1.1,28.5,28.5,84.4,0.38
0,0.68,1.1,28.5,28.5,84.4,0.38
-1,0.74,1.1,28.8,28.8,83.3,0.43
-1,0.67,1,29.5,29.5,79.6,0.25
-1,0.67,1.1,29.5,29.5,78,0.39
-1,0.66,1.1,28.8,28.8,82.1,0.33
0,0.89,1.1,23.7,23.7,32.8,0.02
0,0.76,1.2,22,22,31.7,0.02
-1,0.88,1.2,22.5,22.5,29.7,0.13
0,0.95,1.1,22.1,22.1,26.8,0.04
0,0.71,1.2,22.6,22.6,25.7,0.04
0,1.01,1.1,23.2,23.2,31.5,0.05
0,0.86,1.1,23.2,23.2,31.5,0.05
-1,1.05,1.1,23.3,23.3,33,0.04
-1,0.55,1.1,23.8,23.8,30.8,0.04
0,0.65,1.1,23.7,23.7,32.8,0.02
0,0.55,1,24.7,24.7,30.8,0.01
0,0.83,1.1,24.7,24.7,30.8,0.01
-2,0.72,1.1,23.9,23.9,30.3,0.05
-1,0.86,1.1,23.8,23.8,31.7,0.03
0,0.82,1.1,23.6,23.6,32.5,0.03
-1,0.64,1.1,23.9,23.9,33,0.03
0,0.8,1.1,24.1,24.1,31.3,0.02
-1,0.46,1.1,24.1,24.1,28.9,0.05
0,1,1.1,25,25,28,0.02
0,1.01,1.1,24.3,24.3,27.2,0.06
1,0.7,1.1,24.4,24.4,26.6,0.04
0,0.73,1.1,24.6,24.6,28,0.04
-1,0.62,1,24.2,24.2,23.2,0.09
-1,0.9,1,23.9,23.9,23.6,0.09
0,0.85,1.1,25.6,25.6,22,0.06
-1,1.16,1,25.1,25.1,22.9,0.04
-1,0.66,1.1,24.7,24.7,24.5,0.04
0,0.54,1.1,24.7,24.7,23.8,0
-1,0.91,1.3,23.9,23.9,24,0.08
-1,0.92,1.3,24,24,26,0.1
0,0.52,1.1,23.6,23.6,26.4,0.03
1,1.16,1.1,22.9,22.9,29.1,0.03
0,1.03,1.1,24.9,24.9,27.3,0.04
-1,1.06,1.1,25.1,25.1,27.3,0.05
0,0.99,1.1,26,26,25.8,0.02
-1,1.15,1.1,25.3,25.3,24.7,0.01
-1,0.82,1.1,24.3,24.3,26,0.04
-1,0.88,1.1,25.4,25.4,23.3,0.13
0,0.75,1.1,25,25,23,0.12
0,0.55,1.1,23.8,23.8,24.2,0.22
0,0.95,1.1,23.6,23.6,27.3,0.02
0,0.55,1.1,23.9,23.9,24.8,0.1
-1,0.92,1.3,22.9,22.9,32.2,0.03
0,0.58,1.3,22.8,22.8,29.8,0.04
0,0.64,1.2,21.8,21.8,24.2,0.16
-1,1.13,1.2,23.2,23.2,24,0.06
0,0.68,1.1,22.8,22.8,23.7,0.09
